slug,port_name,country,type,url
Beilstein-Mosel-de,Beilstein Mosel de,Germany,river,https://www.whatsinport.com/Beilstein-Mosel-de.htm
Beirut,Beirut,Lebanon,ocean,https://www.whatsinport.com/Beirut.htm
Belawan-Sumatra,Belawan Sumatra,Indonesia,ocean,https://www.whatsinport.com/Belawan-Sumatra.htm
Belem,Belem,Brazil,ocean,https://www.whatsinport.com/Belem.htm
Belfast,Belfast,Ireland,ocean,https://www.whatsinport.com/Belfast.htm
Belgrade-rs,Belgrade rs,Serbia,river,https://www.whatsinport.com/Belgrade-rs.htm
Belize,Belize,Belize,ocean,https://www.whatsinport.com/Belize.htm
Ben_Tre_City-vn,Ben Tre City vn,Vietnam,river,https://www.whatsinport.com/Ben_Tre_City-vn.htm
Beni_Suef-eg,Beni Suef eg,Egypt,river,https://www.whatsinport.com/Beni_Suef-eg.htm
Beppu,Beppu,Japan,ocean,https://www.whatsinport.com/Beppu.htm
Beqa-Island,Beqa Island,Fiji,ocean,https://www.whatsinport.com/Beqa-Island.htm
Bequia,Bequia,Saint Vincent and the Granadines,ocean,https://www.whatsinport.com/Bequia.htm
Bergen,Bergen,Norway,ocean,https://www.whatsinport.com/Bergen.htm
Bernkastel-Kues-de,Bernkastel Kues de,Germany,river,https://www.whatsinport.com/Bernkastel-Kues-de.htm
Besancon-fr,Besancon fr,France,river,https://www.whatsinport.com/Besancon-fr.htm
Bilbao,Bilbao,Spain,ocean,https://www.whatsinport.com/Bilbao.htm
Bimini,Bimini,Bahamas,ocean,https://www.whatsinport.com/Bimini.htm
Bingen_am_Rhein-de,Bingen am Rhein de,Germany,river,https://www.whatsinport.com/Bingen_am_Rhein-de.htm
Bintan-Island,Bintan Island,Indonesia,ocean,https://www.whatsinport.com/Bintan-Island.htm
Bintulu,Bintulu,Malaysia,ocean,https://www.whatsinport.com/Bintulu.htm
Binz-Rugen,Binz Rugen,Germany,ocean,https://www.whatsinport.com/Binz-Rugen.htm
Bissau,Bissau,Guinea Bissau,ocean,https://www.whatsinport.com/Bissau.htm
Bitetos-pt,Bitetos pt,Portugal,river,https://www.whatsinport.com/Bitetos-pt.htm
Bitung-Sulawesi,Bitung Sulawesi,Indonesia,ocean,https://www.whatsinport.com/Bitung-Sulawesi.htm
Bjornoya,Bjornoya,Norway,ocean,https://www.whatsinport.com/Bjornoya.htm
Blanquilla,Blanquilla,Venezuela,ocean,https://www.whatsinport.com/Blanquilla.htm
Blaye-fr,Blaye fr,France,river,https://www.whatsinport.com/Blaye-fr.htm
Blomstrandhavn,Blomstrandhavn,Svalbard,ocean,https://www.whatsinport.com/Blomstrandhavn.htm
Bluff,Bluff,New Zealand,ocean,https://www.whatsinport.com/Bluff.htm
Boa-Vista,Boa Vista,Cape Verde,ocean,https://www.whatsinport.com/Boa-Vista.htm
Boca-do-Valeria,Boca do Valeria,Brazil,ocean,https://www.whatsinport.com/Boca-do-Valeria.htm
Boca_da_Valeria-br,Boca da Valeria br,Brazil,river,https://www.whatsinport.com/Boca_da_Valeria-br.htm
Bocas-del-Toro,Bocas del Toro,Panama,ocean,https://www.whatsinport.com/Bocas-del-Toro.htm
Bodo,Bodo,Norway,ocean,https://www.whatsinport.com/Bodo.htm
